建筑年代,物业费（元/平米）,物业类型,总价（万元）,均价（元/平米）,建筑面积,结构,住宅类别,产权性质,建筑类别,户型
2004.0,0.45,住宅,432.0,46576.819407008086,92.75,平层,普通住宅,商品房,板楼,2室2厅1厨1卫
2001.0,0.8,住宅,462.0,49358.97435897436,93.6,平层,普通住宅,商品房,板楼,2室2厅1厨1卫
1995.0,0.35,住宅,400.0,54054.05405405405,74.0,平层,普通住宅,商品房,板楼,2室1厅1厨1卫
2007.0,2.07,住宅,500.0,51020.4081632653,98.0,平层,普通住宅,商品房,板楼,2室2厅1厨1卫
2003.0,0.6,住宅,430.0,49425.28735632184,87.0,平层,普通住宅,商品房,板楼,2室2厅1厨1卫
1998.0,0.55,住宅,450.0,54737.86643960589,82.21,平层,普通住宅,商品房,塔楼,2室2厅1厨1卫
1998.0,0.55,住宅,450.0,54878.04878048781,82.0,跃层,普通住宅,商品房,板楼,2室2厅1厨1卫
2006.0,2.3,住宅,430.0,67187.5,64.0,平层,普通住宅,商品房,板楼,1室1厅1厨1卫
1995.0,0.25,住宅,420.0,55263.15789473684,76.0,平层,普通住宅,商品房,板楼,2室1厅1厨1卫
2004.0,0.6,住宅,410.0,47674.41860465116,86.0,平层,普通住宅,商品房,板楼,3室1厅1厨1卫
,6.0,别墅,10000.0,181488.20326678766,551.0,,,,,5室3厅1厨5卫
,6.0,别墅,10000.0,159772.48398280848,625.89,,,,,5室3厅1厨5卫
,6.0,别墅,11000.0,150429.40758164215,731.24,,,,,5室3厅1厨6卫
2007.0,0.5,住宅,230.0,41818.181818181816,55.0,,普通住宅,个人产权,,1室1厅1厨1卫
2017.0,0.0,住宅,123.0,9461.538461538461,130.0,,普通住宅,个人产权,,3室2厅1厨2卫
2005.0,0.45,住宅,220.0,40000.0,55.0,,普通住宅,个人产权,,1室1厅1厨1卫
2015.0,1.86,住宅,110.0,12359.550561797752,89.0,,普通住宅,个人产权,,3室2厅1厨1卫
2017.0,1.7,住宅,110.0,8800.0,125.0,平层,普通住宅,个人产权,板楼,4室2厅1厨2卫
1990.0,0.8,住宅,205.0,42708.333333333336,48.0,,普通住宅,个人产权,,2室1厅1厨1卫
1997.0,0.7,住宅,272.0,31264.367816091955,87.0,,普通住宅,个人产权,,3室1厅1厨1卫
