,地区,种类,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年
81,数据来源：国家统计局,苹果园面积,,,,,,,,,,,,,,,,,,,,
82,数据来源：国家统计局,葡萄园面积,,,,,,,,,,,,,,,,,,,,
83,数据来源：国家统计局,香蕉产量,,,,,,,,,,,,,,,,,,,,
84,新疆维吾尔自治区,果园面积,,,,,,,,,,,839.29,991.72,990.31,1015.15,933.98,934.0,971.78,993.76,695.36,
85,新疆维吾尔自治区,水果产量,279.91,151.87,311.12,432.29,408.3,450.84,511.91,547.94,672.55,855.04,1056.35,1028.85,1035.96,1222.1,1326.94,1466.89,1635.02,1790.88,1420.2,
86,新疆维吾尔自治区,苹果产量,24.68,29.97,27.1,25.04,26.34,29.39,33.02,32.79,38.89,43.54,53.51,65.87,71.51,82.1,98.08,106.26,115.13,136.58,144.17,
87,新疆维吾尔自治区,苹果园面积,36.17,34.56,31.17,30.38,27.79,28.94,28.58,31.07,32.48,38.46,55.29,73.35,83.33,83.92,55.0,55.0,63.6,68.8,,
88,新疆维吾尔自治区,葡萄园面积,41.34,59.05,70.55,87.94,91.71,92.18,96.24,103.88,109.57,108.76,114.68,125.27,135.51,143.32,144.8,149.1,150.2,149.0,,
89,新疆维吾尔自治区,香蕉产量,,,,,,,,0.0,,,,,,,,,,,,
90,江苏省,果园面积,,,,,,,,,,,192.74,191.51,202.98,209.83,222.05,222.1,209.42,209.97,209.15,
91,江苏省,水果产量,468.09,176.44,612.6,692.44,601.95,619.99,606.35,628.45,642.68,682.86,715.71,738.57,757.08,795.98,814.19,861.62,914.78,893.0,942.5,
92,江苏省,苹果产量,67.96,69.53,68.02,61.46,49.46,56.09,55.28,57.26,61.85,57.53,57.23,56.63,61.67,60.12,54.18,59.77,59.95,56.41,58.0,
93,江苏省,苹果园面积,63.59,49.57,47.73,46.69,38.9,37.99,38.44,36.52,35.13,34.75,34.82,34.02,35.84,34.33,33.0,33.0,32.1,30.9,,
94,江苏省,葡萄园面积,5.93,5.93,8.19,9.6,10.8,10.94,11.44,13.03,12.72,14.91,18.1,21.65,25.43,31.15,34.1,37.6,38.0,34.9,,
95,江苏省,香蕉产量,,,,,,,,0.0,,,,,,,,,,,,
96,江西省,果园面积,,,,,,,,,,,374.55,373.62,381.6,392.84,405.2,405.2,414.7,410.89,396.92,
97,江西省,水果产量,223.03,42.34,259.38,267.82,273.16,290.99,325.43,316.88,381.16,444.53,497.45,468.4,580.58,571.29,637.77,627.07,663.42,617.4,670.12,
98,江西省,苹果产量,,,,,,,,0.0,,,,,,,,,,,,
99,江西省,苹果园面积,,,,,,,,,,,,,,,,,,,,
100,江西省,葡萄园面积,2.03,2.87,1.76,1.81,1.8,1.92,1.87,1.92,1.6,1.87,2.37,2.53,,4.22,4.6,6.4,6.6,7.1,,
101,江西省,香蕉产量,,,,,,,,0.0,,,,,,,,,,,,
102,河北省,果园面积,,,,,,,,,,,1035.58,1064.4,1047.36,1051.76,1063.5,1063.5,1094.23,1090.14,560.03,
103,河北省,水果产量,953.73,677.31,1074.77,1169.3,1270.74,1346.34,1397.88,1428.85,1491.54,1532.89,1578.62,1612.42,1719.16,1814.9,1863.31,2018.98,2117.19,2138.51,1365.34,
104,河北省,苹果产量,187.12,180.62,184.54,196.56,200.28,214.29,220.23,235.76,247.88,261.6,276.8,272.46,292.64,311.46,320.14,345.73,366.58,365.58,228.15,
105,河北省,苹果园面积,341.13,328.27,316.54,288.25,276.44,266.54,263.93,253.13,250.0,243.84,235.45,265.41,236.74,235.75,237.4,237.4,242.6,241.8,,
106,河北省,葡萄园面积,39.41,42.82,46.34,51.52,52.13,53.28,54.21,58.12,57.91,60.96,63.43,70.37,73.73,76.81,81.4,83.8,86.5,88.3,,
107,河北省,香蕉产量,,,,,,,,0.0,,,,,,,,,,,,
108,河南省,果园面积,,,,,,,,,,,449.03,455.26,465.53,466.7,475.7,475.7,455.63,447.54,442.67,
109,河南省,水果产量,1286.97,364.73,1516.07,1673.96,1318.51,1638.59,1842.17,2005.6,2088.59,2129.59,2228.09,2393.99,2414.12,2535.04,2599.66,2560.19,2665.1,2871.26,2602.44,
